PS I:\freelance\SCA Smartcard ML Pipeline-3des> python main.py --mode train --scan_type all --processed_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed" --model_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models" --opt_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Optimization" --input_dir "I:\freelance\SCA-Smartcard-Pipeline-3\Input1"           
Running: 'C:\Program Files\Python312\python.exe' 'I:\freelance\SCA Smartcard ML Pipeline-3des\pipeline-code\main.py' --mode train --scan_type all --processed_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed' --model_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models' --opt_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Optimization' --input_dir 'I:\freelance\SCA-Smartcard-Pipeline-3\Input1' --output_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Output\run_manual' --model_root 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models\run_manual' --card_type universal --file_pattern 'traces_data_*.npz' --enable_external_labels --label_map_xlsx 'I:\freelance\SCA Smartcard ML 2026-03-15 16:04:47,968 - ingest - INFO - Total traces found: 6001
2026-03-15 16:10:36,051 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:10:55,585 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:10:56,759 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:10:57,793 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:10:58,684 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:11:18,794 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:11:19,991 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:11:21,110 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:11:22,262 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:11:40,790 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:11:41,977 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:11:43,068 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:11:44,145 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:14,400 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:15,284 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:16,203 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:17,084 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:17,958 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:18,891 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:29,308 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:30,256 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:40,743 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:41,762 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:51,559 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:12:52,510 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:13:01,979 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:13:02,907 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:13:12,579 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:13:13,682 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:13:17,790 - feature_eng - INFO - 
Done. Processed 15000 traces.
2026-03-15 16:16:22,872 - main - INFO - [STEP 1] Feature Extraction (RSA traces)...
2026-03-15 16:16:23,365 - ingest - INFO - Filtering for trace type 'rsa': 7 file(s) kept.
2026-03-15 16:16:23,365 - ingest - INFO - Final trace file count: 7.
2026-03-15 16:16:26,287 - ingest - INFO - Total traces found: 6001
2026-03-15 16:16:26,287 - feature_eng - INFO - [Pass 1] Global & Targeted POI Search...
2026-03-15 16:16:36,282 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:16:37,380 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:16:47,229 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:16:48,483 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:16:59,908 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:01,101 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:11,386 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:12,441 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:22,228 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:23,449 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:33,337 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:34,330 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:35,298 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:35,349 - feature_eng - INFO - 
POI Selection Complete.
2026-03-15 16:17:35,350 - feature_eng - INFO - [Pass 2] Feature Extraction...
2026-03-15 16:17:36,565 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:37,757 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:39,866 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:40,749 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:42,748 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:43,661 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:45,529 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:46,434 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:48,343 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:49,253 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:51,164 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:52,084 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:52,908 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:17:54,207 - feature_eng - INFO - 
Done. Processed 6001 traces.
2026-03-15 16:17:54,215 - main - INFO - [STEP 2] Starting Training (3DES & RSA)...
2026-03-15 16:17:54,215 - pipeline_3des - INFO - Training 3DES ensemble into I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models
2026-03-15 16:17:54,215 - pipeline_3des - INFO - Transfer learning mode: DISABLED
2026-03-15 16:17:54,267 - train_ensemble - INFO - 
2026-03-15 16:17:54,267 - train_ensemble - INFO - ================================================================================
2026-03-15 16:17:54,267 - train_ensemble - INFO - Phase 1: KENC Full Training
2026-03-15 16:17:54,268 - train_ensemble - INFO - ================================================================================
2026-03-15 16:17:54,268 - train_ensemble - INFO - Loading Stage 1 features for KENC from I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed\3des\X_features_s1.npy
2026-03-15 16:17:56,629 - train_ensemble - INFO - Training 3DES KENC Stage 1 S-Box 1 (1 models) using 15000 traces...
2026-03-15 16:18:31,447 - train_ensemble - INFO - S-Box 1 Model 0 | Epoch 10 | Val Acc: 50.03%
2026-03-15 16:18:40,248 - train_ensemble - INFO - S-Box 1 Model 0 | Early stopping at epoch 13 (no improvement for 8 epochs).
2026-03-15 16:18:40,248 - train_ensemble - INFO - S-Box 1 Model 0 Finished. Best Acc: 51.00%
2026-03-15 16:18:40,417 - train_ensemble - INFO - Training 3DES KENC Stage 1 S-Box 2 (1 models) using 15000 traces...
2026-03-15 16:19:11,736 - train_ensemble - INFO - S-Box 2 Model 0 | Epoch 10 | Val Acc: 49.83%
2026-03-15 16:19:14,694 - train_ensemble - INFO - S-Box 2 Model 0 | Early stopping at epoch 11 (no improvement for 8 epochs).
2026-03-15 16:19:14,694 - train_ensemble - INFO - S-Box 2 Model 0 Finished. Best Acc: 50.30%
2026-03-15 16:19:14,870 - train_ensemble - INFO - Training 3DES KENC Stage 1 S-Box 3 (1 models) using 15000 traces...
2026-03-15 16:19:46,447 - train_ensemble - INFO - S-Box 3 Model 0 | Epoch 10 | Val Acc: 50.73%
2026-03-15 16:19:55,459 - train_ensemble - INFO - S-Box 3 Model 0 | Early stopping at epoch 13 (no improvement for 8 epochs).
2026-03-15 16:19:55,459 - train_ensemble - INFO - S-Box 3 Model 0 Finished. Best Acc: 52.63%
2026-03-15 16:19:55,638 - train_ensemble - INFO - Training 3DES KENC Stage 1 S-Box 4 (1 models) using 15000 traces...
2026-03-15 16:20:27,285 - train_ensemble - INFO - S-Box 4 Model 0 | Early stopping at epoch 10 (no improvement for 8 epochs).
